Fecha,Compras,Ordenes,NMV,NMV_USD,NSI,TSIE_total
2026-03-16,192,1174,1.0533548E7,7524.0,2538.0,2557
2026-03-17,216,1239,1.2234321E7,8764.0,3087.0,3113
2026-03-18,173,925,9765826.0,6996.0,2356.0,2389
2026-03-19,200,1373,1.1714152E7,8403.0,3222.0,3279
2026-03-20,187,1266,1.1175854E7,8014.0,2849.0,2871
2026-03-21,153,1173,8638850.0,6213.0,2139.0,2161
2026-03-22,121,677,6267373.0,4507.0,1336.0,1351
2026-03-23,173,1002,9083794.0,6533.0,2257.0,2294
2026-03-24,119,863,7650213.0,5502.0,1866.0,1895
2026-03-25,194,1077,1.0933449E7,7863.0,2990.0,3021
2026-03-26,232,1431,1.3445311E7,9761.0,3502.0,3546
2026-03-27,206,1144,1.1524279E7,8424.0,2649.0,2700
2026-03-28,163,1083,9514065.0,6882.0,2360.0,2376
2026-03-29,192,1233,1.1521005E7,8333.0,2933.0,2964
2026-03-30,254,1354,1.3909635E7,10061.0,3411.0,3447
2026-03-31,221,1352,1.3266164E7,9489.0,3250.0,3277
2026-04-01,184,1096,1.044963E7,7561.0,2446.0,2460
2026-04-02,143,925,7713578.0,5533.0,1925.0,1985
2026-04-03,148,948,7005810.0,5026.0,1847.0,1872
2026-04-04,113,653,5649530.0,4053.0,1485.0,1509
2026-04-05,87,439,4265963.0,3060.0,909.0,917
2026-04-06,170,1073,9998295.0,7172.0,2503.0,2527
2026-04-07,140,946,8031412.0,5766.0,2156.0,2191
2026-04-08,155,982,8871359.0,6371.0,2212.0,2223
2026-04-09,147,796,7831254.0,5644.0,2001.0,2021
2026-04-10,150,968,8220770.0,5953.0,2004.0,2018
2026-04-11,109,769,6433674.0,4696.0,1465.0,1475
2026-04-12,99,657,5309409.0,3875.0,1465.0,1476
2026-04-13,152,790,7970230.0,5818.0,1923.0,1931
2026-04-14,118,705,6114490.0,4516.0,1650.0,1658
2026-04-15,149,1044,9751691.0,7149.0,2414.0,2422
2026-04-16,172,953,8796545.0,6473.0,2457.0,2472
2026-04-17,157,897,8486719.0,6249.0,2138.0,2154
2026-04-18,115,815,6370780.0,4669.0,1772.0,1781
2026-04-19,114,677,6875368.0,5039.0,1641.0,1646
2026-04-20,159,909,8679698.0,6361.0,2236.0,2236
2026-04-21,149,1063,9079779.0,6594.0,2451.0,2473
2026-04-22,145,849,7774275.0,5652.0,2066.0,2072
2026-04-23,121,721,6806001.0,4939.0,1674.0,1686
2026-04-24,164,1319,1.0464029E7,7517.0,2622.0,2645
2026-04-25,132,1134,8167626.0,5836.0,2275.0,2283
2026-04-26,132,899,7435176.0,5313.0,1915.0,1949
2026-04-27,195,1316,1.1782194E7,8419.0,2826.0,2846
2026-04-28,173,1018,1.0126638E7,7147.0,2552.0,2564
2026-04-29,213,1415,1.4053559E7,10006.0,3414.0,3425
2026-04-30,53,360,90703.0,65.0,34.0,34
